1,ADVERTISING,62720005,12/7/2010,12/7/2010
2,BUILDING REPAIRS & MAINTENANCE,62210000,12/7/2010,12/7/2010
3,BUSINESS MEALS AND ENTERTAINME,62901004,12/7/2010,12/7/2010
4,CELL PHONES - COMMUNICATIONS,62810000,12/7/2010,12/7/2010
5,COMMISSIONS,62720009,12/7/2010,12/7/2010
6,CONFERENCES,62720003,12/7/2010,12/7/2010
7,EMPLOYEE GOODWILL,64930009,12/7/2010,12/7/2010
8,Environmental Health & Safety  EQUIPMENT,62907001,12/7/2010,12/7/2010
9,EQUIPMENT MAINTENANCE,62210002,12/7/2010,12/7/2010
10,FIXED ASSETS CLEARING,23900003,12/7/2010,12/7/2010
11,GIFTS,62720006,12/7/2010,12/7/2010
12,HOTELS,62901002,12/7/2010,12/7/2010
13,INSURANCE,62500000,12/7/2010,12/7/2010
14,IT INFORMATION SYSTEM,62909000,12/7/2010,12/7/2010
15,LICENSES,63110002,12/7/2010,12/7/2010
16,MAINTENANCE VEHICLES,62220000,12/7/2010,12/7/2010
17,MEMBERSHIP FEES & DONATIONS,62906000,12/7/2010,12/7/2010
18,NON-CAPITALIZED EQUIPMENT,62913000,12/7/2010,12/7/2010
19,OFFICE SUPPLIES,62903000,12/7/2010,12/7/2010
20,OTHERS RENTALS,62190000,12/7/2010,12/7/2010
21,OUTSIDE SERVICES (CONSULTING),62320000,12/7/2010,12/7/2010
22,PER DIEM - BREAKFAST $12,62901003,12/7/2010,12/7/2010
23,PER DIEM - Daily $56,62901003,12/7/2010,12/7/2010
24,PER DIEM - DINNER 27,62901003,12/7/2010,12/7/2010
25,PER DIEM - LUNCH $17,62901003,12/7/2010,12/7/2010
26,PERMITS,63110001,12/7/2010,12/7/2010
27,POSTAGE/CURRIER INTERNATIONAL,62410001,12/7/2010,12/7/2010
28,POSTAGE/CURRIER NATIONAL,62410000,12/7/2010,12/7/2010
29,PROMOTION EXPENSE,62720007,12/7/2010,12/7/2010
30,PUBLIC RELATIONS & MARKETING,62720000,12/7/2010,12/7/2010
31,PUBLISHING MEMBERSHIP FEES & DOCUMENT.,62905000,12/7/2010,12/7/2010
32,STAFF TRANSPORTATION,64900000,12/7/2010,12/7/2010
33,TALGO INC  EMPLOYEE RELOCATIONS,64910012,12/7/2010,12/7/2010
34,TALGO INC CONSUM & SHOP SUPPL,60400000,12/7/2010,12/7/2010
35,TALGO INC EQUIPMENT RENTAL,62110000,12/7/2010,12/7/2010
36,TRADE FAIR,62720001,12/7/2010,12/7/2010
37,TRAINING - EMPLOYEE PROFESSIONAL TRAINING,64900001,12/7/2010,12/7/2010
38,TRAVEL - AIRFARE,62901001,12/7/2010,12/7/2010
39,TRAVEL - AUTO RENTAL AND TAXI,62901005,12/7/2010,12/7/2010
40,TRAVEL - HOTEL,62901002,12/7/2010,12/7/2010
41,TRAVEL - MILEAGE,62901006,12/7/2010,12/7/2010
42,TRAVEL - OTHER TRAVEL COSTS,62901008,12/7/2010,12/7/2010
43,TRAVEL - PARKING,62901007,12/7/2010,12/7/2010
44,VEHICLES RENTAL,62130000,12/7/2010,12/7/2010
45,WIDE AREA COMMUNICATIONS,62820001,12/7/2010,12/7/2010
